taxon,latitude,longitude,type
Cucurbita_cordata,28.9547,-113.5625,G
Cucurbita_cordata,24.2857661,-111.0109816,H
Cucurbita_cordata,25.9346977,-111.5421361,H
Cucurbita_cordata,25.947488,-111.7300052,H
Cucurbita_cordata,25.9576506,-111.4609177,H
Cucurbita_cordata,26.206709,-111.617512,H
Cucurbita_cordata,26.456451,-111.648485,H
Cucurbita_cordata,26.802645,-112.0622982,H
Cucurbita_cordata,26.9105096,-112.045061,H
Cucurbita_cordata,26.9107262,-112.9822799,H
Cucurbita_cordata,26.9156916,-113.7368987,H
Cucurbita_cordata,27.015153,-114.042982,H
Cucurbita_cordata,27.164634,-113.4654046,H
Cucurbita_cordata,27.2762613,-113.191559,H
Cucurbita_cordata,27.424452,-113.4380353,H
Cucurbita_cordata,27.8434911,-114.0275069,H
Cucurbita_cordata,28.0066751,-113.873446,H
Cucurbita_cordata,28.1474165,-113.6345345,H
Cucurbita_cordata,28.516667,-113.75,H
Cucurbita_cordata,28.744103,-113.753451,H
Cucurbita_cordata,28.744103,-113.753451,H
Cucurbita_cordata,28.744103,-113.753451,H
Cucurbita_cordata,28.7700513,-113.4871398,H
Cucurbita_cordata,30.5622903,-115.0077914,H
Cucurbita_cordata,31.666667,-115.95,H
Cucurbita_cordata,25.916667,-111.466667,H
Cucurbita_cordata,28.14,-113.25,H
Cucurbita_cordata,23.226944,-109.9625,H
Cucurbita_cordata,24.0434888,-110.4315463,H
Cucurbita_cordata,25.916667,-111.391667,H
Cucurbita_cordata,27.091667,-112.325,H
Cucurbita_cordata,27.691667,-113.025,H
Cucurbita_cordata,24.141667,-110.841667,H
Cucurbita_cordata,24.875,-110.975,H
Cucurbita_cordata,25.491667,-111.925,H
Cucurbita_cordata,25.903333,-111.368889,H
Cucurbita_cordata,25.9484161,-111.4969647,H
Cucurbita_cordata,26.260556,-112.473333,H
Cucurbita_cordata,26.296936,-112.530679,H
Cucurbita_cordata,26.875,-111.941667,H
Cucurbita_cordata,27.303333,-112.902778,H
Cucurbita_cordata,27.341667,-112.291667,H
Cucurbita_cordata,27.491667,-113.308333,H
Cucurbita_cordata,28.091667,-113.591667,H
Cucurbita_cordata,28.241667,-113.408333,H
Cucurbita_cordata,28.261111,-113.874722,H
Cucurbita_cordata,28.375,-113.508333,H
Cucurbita_cordata,28.391667,-113.325,H
Cucurbita_cordata,28.758333,-113.616667,H
Cucurbita_cordata,29.358333,-114.425,H
Cucurbita_cordata,31.641667,-116.025,H
Cucurbita_cordata,32.375,-117.091667,H
Cucurbita_cordata,23.058333,-110.025,H
Cucurbita_cordata,23.4513848,-109.9279362,H
Cucurbita_cordata,25.925,-111.958333,H
Cucurbita_cordata,27.291667,-112.825,H
Cucurbita_cordata,27.608333,-113.075,H
Cucurbita_cordata,26,-111.35,H
Cucurbita_cordata,28.641697,-114.023861,H
Cucurbita_cordata,28.643889,-114.046389,H
Cucurbita_cordata,23.375,-109.775,H
Cucurbita_cordata,23.608333,-110.108333,H
Cucurbita_cordata,27.1,-112.975,H
Cucurbita_cordata,27.108333,-112.991667,H
Cucurbita_cordata,27.341667,-112.291667,H
Cucurbita_cordata,28.008333,-113.008333,H
Cucurbita_cordata,28.475,-113.425,H
Cucurbita_cordata,28.725,-113.641667,H
Cucurbita_cordata,28.758333,-113.625,H
Cucurbita_cordata,28.758333,-113.616667,H
Cucurbita_cordata,24.091667,-110.991667,H
Cucurbita_cordata,24.091667,-110.991667,H
Cucurbita_cordata,28.205,-114.043889,H
Cucurbita_cordata,28.308333,-113.708333,H
Cucurbita_cordata,28.308333,-113.708333,H
Cucurbita_cordata,26.025,-111.358333,H
Cucurbita_cordata,26.358333,-111.791667,H
Cucurbita_cordata,26.358333,-111.775,H
Cucurbita_cordata,26.358333,-111.791667,H
Cucurbita_cordata,26.358333,-111.775,H
Cucurbita_cordata,27.108333,-112.991667,H
Cucurbita_cordata,27.108333,-112.991667,H
Cucurbita_cordata,28.341667,-113.725,H
Cucurbita_cordata,28.341667,-113.725,H
Cucurbita_cordata,28.958333,-113.575,H
Cucurbita_cordata,28.958333,-113.575,H
Cucurbita_cordata,28.791667,-113.325,H
Cucurbita_cordata,28.791667,-113.325,H
Cucurbita_cordata,23.50039356,-110.0837089,H
Cucurbita_cordata,28.74486,-113.754115,H
Cucurbita_cordata,32.3826172,-115.5099536,H
